Глава;Сцена;Локация;Время;Персонажи;Действие;Функция;Лор;Эмоция;Визуальный акцент
1;1;Дом Вейлов — кухня;раннее утро;Найра, Сейра, Тален;"Найра пытается завтракать и одновременно проверяет документы; Тален подкалывает её за третий пересчёт.";Сразу показать семью без вводного монолога.;еда, вода в доме, бытовой холодный шкаф фоном;нервозность + тепло;утренний свет, стол завален бумагами
1;2;Кабинет/прихожая;утро;Найра, Марен;"Марен отдаёт ей меч как подарок к поступлению; объясняет только, что это старый качественный стабилизированный клинок и семейная вещь/находка, без финальной природы.";Ввести меч без 'легендарного артефакта'.;керит/стабилизация на бытовом уровне знаний;удивление;серо-синий клинок без сияния
1;3;Южные сады;утро;Найра;"Она выходит пешком; город просыпается.";Познакомить с Лейвеном движением.;печной дым, вода, омнибус;предвкушение;длинная прогулочная панель
1;4;Мост Венна;утро;Найра, горожане;"Смешанный поток задерживает её; она предпочитает пройти пешком.";Дать масштаб города.;мост на эйдорском основании, транспорт;легкая спешка;река и Академия впереди
1;5;Академия — регистрация;позднее утро;Найра, служащие, студенты;Документы, очередь, практичные процедуры.;Приземлить поступление.;лицензии/архивы/бумага;облегчение;не героический зал, а живое учреждение
2;1;Двор Основателей;утро;Найра, студенты;"Ориентация вокруг монолита; студенты сидят на его основании.";Сделать монолит привычным.;старый эйдорский объект как фон;любопытство;камень с потёртыми краями
2;2;Ориентационная группа;утро;Найра, Ильва;Ильва первой заводит разговор, легко запоминает дорогу/здания.;Ввести Ильву через действие.;Resonance/navigation character seed;симпатия;Ильва показывает короткий путь
2;3;Демонстрационный стенд;день;Найра, преподаватель;"Слабая демонстрация Resonance рядом с двором; после выключения Найра ощущает отклик ещё долю секунды.";Seed #1, максимально тихий.;измерительный back-action/остаток;сомнение;Найра оглядывается, остальные уже ушли
2;4;Коридор;день;Найра, Эрен;"Эрен поправляет её, когда она идёт не в ту аудиторию; говорит формально.";Ввести Эрена без rival-cliché.;расписание, корпус;нейтральное знакомство;пачка дешёво переплетённых тетрадей
3;1;Учебная лаборатория;утро;Найра, Ильва, Эрен, Торрен, Весса;Преподаватель распределяет группу случайно/по списку.;Собрать пятёрку естественно.;учебная система;неловкость;пять мест вокруг одного стола
3;2;Лаборатория;утро;пятёрка;"Торрен молча исправляет плохое крепление стенда; Весса сразу задаёт вопрос про безопасность живой ткани хотя опыт не про неё.";Показать характер через профессию.;материаловедение, Vita worldview;юмор;разные руки в кадре
3;3;Перерыв;день;пятёрка;"Ильва предлагает после занятий зайти поесть; Эрен сначала отказывается из-за цены.";Начать социальную динамику.;деньги;неловкий смех;Ильва: 'там есть дешёвая миска, не ресторан короны'
3;4;Выход из корпуса;вечер;пятёрка;Они всё-таки идут вместе.;Формирование ядра.;городская рутина;первое чувство компании;пять силуэтов
4;1;Лаборатория механики;утро;группа;Преподаватель ставит две тележки и спрашивает, куда уходит реакция.;Правило мира до экшена.;сохранение импульса;интерес;простая схема на доске
4;2;Стенд;утро;Найра, Эрен;"Найра пробует сделать коррекцию без хорошей опоры; её собственная тележка откатывается.";Показать физику через ошибку.;Impulse reaction path;смех/стыд;никакого света/взрыва
4;3;Стенд;день;Торрен, Найра;"Торрен фиксирует основание; тот же Fv работает лучше.";Связать механику и Viz.;дарн/опора;озарение;рука на массивной раме
4;4;Коридор;день;пятёрка;Фраза преподавателя 'О что мы толкаемся?' становится внутренней шуткой.;Создать повторяемый мотив.;физический закон в естественной речи;дружелюбие;
5;1;Третий Колокол;вечер;пятёрка, Мара;"Первый вход; шум, запах выпечки, выбор стола.";Дать ключевое место.;кафе как бизнес;уют;большое окно в дождь/вечер
5;2;За столом;вечер;пятёрка;"Заказы раскрывают характер и бюджет; Эрен берёт простое, Найра пробует тарт.";Характеризация через еду.;цены;тепло;еда в цвете
5;3;За столом;вечер;Ильва, Весса, Торрен;"Спор, какая специализация самая полезная; Торрен сухо: 'та, после которой мост стоит'.";Командный юмор.;профессии;смех;
5;4;Улица;ночь;Найра;Она идёт домой и впервые ощущает, что день был хорош не из-за поступления, а из-за людей.;Эмоциональная точка.;ночной Лейвен;тихая радость;фонари и мокрый камень
6;1;Resonance lab;день;Найра, Ильва;Стандарт E20-like опыт на back-action.;Научить читателя: измерение влияет.;Resonance physics;концентрация;стрелки, бумажная лента
6;2;Стенд;день;Найра;Её канал показывает слабый длинный хвост после снятия возбуждения.;Seed #1 становится записанным.;погрешность/релаксация;интерес;перо медленно возвращается
6;3;Лаборатория;день;Ильва;"Ильва повторяет и не получает того же; они решают, что виновата калибровка/оператор.";Не делать тайну доказанной.;operator effect;разумное объяснение;
6;4;Журнал;вечер;Найра;Она записывает: 'повторить при случае'.;Черта Найры — фиксировать противоречия.;научный журнал;спокойствие;маленькая запись на полях
7;1;Монтаж — город/Академия;неделя;ядро;лекции, дождь, рынок, лаборатории, дом.;Показать ритм.;много лора без объяснений;принадлежность;серия коротких визуальных сцен
7;2;Дом Вейлов;вечер;Найра, семья;Сейра спрашивает не 'как оценки?', а ела ли она.;Семейная теплота.;еда/работа;уют;
7;3;Комната Найры;ночь;Найра;Она ставит учебники и меч рядом, но выбирает читать конспект, а не изучать клинок.;Не фетишизировать артефакт.;меч обычен для неё;спокойствие;
7;4;Академия;утро следующего дня;Найра;Она уже идёт по двору без карты кампуса.;Закрыть арку поступления.;пространственная привычка;уверенность;
8;1;Северное Окно;день;Найра, Эрен;"Ищут обязательный учебник; новый дорог.";Деньги и книги.;печать/рынок учебников;практичность;полки и ценники
8;2;Магазин;день;Эрен;Эрен знает, какие издания можно брать старыми, какие нельзя из-за обновлённых стандартов.;Показать компетентность и бедность без жалости.;метрология/издания;уважение;
8;3;Улица;день;Найра, Эрен;"Найра предлагает дать ему книгу; он отказывается от подарка, но соглашается обмениваться конспектами.";Установить границы персонажа.;социальная динамика;теплое уважение;
8;4;Дешёвая столовая;вечер;Найра, Эрен, Ильва;"Ильва находит их; они едят недорого и обсуждают преподавателей.";Свести бытовое и дружбу.;цены/еда;уют;
