ID;Asset;Appearances;Requirements;Priority
A01;Дом Вейлов — кухня;Ch1, Ch7;"large mixed-use family table; cold cabinet; morning/evening states";HIGH
A02;Комната Найры;Ch1, Ch7;desk, mirror, books, sword resting position;HIGH
A03;Меч Найры + ножны;Ch1+;gray-blue restrained weapon, registration seal states;CRITICAL
A04;Южные сады;Ch1;residential street, bakery, water, smoke;MEDIUM
A05;Мост Венна;Ch1,5;pedestrian/vehicle geometry, old lower masonry;CRITICAL
A06;Academy registration hall;Ch1;queues, wooden signs, paper workflow;MEDIUM
A07;Двор Основателей;Ch2,7;monolith, two trees, four surrounding faces;CRITICAL
A08;Campus wayfinding system;Ch2;signs, maps, wing numbering;MEDIUM
A09;Demo Resonance bench;Ch2;stone tiles, contact plate, mechanical needle;HIGH
A10;Lab table #8;Ch3,4,6;five seats, recurring proportions;CRITICAL
A11;Intro Form bench;Ch3;frame, plate, limiter, measurement insert;HIGH
A12;Impulse cart bench;Ch4;two carts, fixed/free/compliant support modes;CRITICAL
A13;Третий Колокол exterior;Ch5;side street + III bell sign;HIGH
A14;Третий Колокол interior;Ch5,7;15–20 tables, big window, counter, kitchen glimpse;CRITICAL
A15;Resonance paper-register bench;Ch6;five channels + paper trace;CRITICAL
A16;Academy week montage kit;Ch7;garment racks, market apples, lecture rooms;MEDIUM
A17;Северное Окно bookstore;Ch8;deep narrow shop, new/used sections;HIGH
A18;Used textbook props;Ch8;damaged bindings, marginalia, standards appendix;HIGH
A19;Cheap student canteen;Ch8;long tables, simple service;MEDIUM
