ID;Категория;Название;Уровень;Физическая основа;Роль Виза;Материалы;Fv;Bv;Физическая энергия;Преимущество;Отказ;Стоимость
D-H01;Дом;Направленный виз-фонарь;T1/T2;масляная/спиртовая/химическая лампа либо светящаяся нагретая керамика, 10–30 Вт световой/тепловой мощности;"Люмен перераспределяет свет в полезный сектор; простая автостабилизация яркости";сольвер, люмент, веллит, малая селеновая ячейка, орель;0.002–0.01 FU;30–100 BU на ночь;топливо/химическая ячейка;в 2–4 раза больше полезной освещённости при том же источнике;"остаётся обычной слабой лампой либо гаснет; не вспыхивает магически";2/5
D-H02;Дом;Кухонный терморегулятор печи;T2;дровяная/угольная печь, заслонка, теплоёмкая кладка;Терма + механический исполнитель поддерживают диапазон температуры, не создавая тепло;терал, сольвер, веллит, таль, мералит;0.003–0.02 FU;20–80 BU за готовку;дрова/уголь;меньше перегрева и расхода топлива, стабильная выпечка;"печь работает вручную; аварийная заслонка механическая";2/5
D-H03;Дом;Холодильный шкаф;T2/T3;теплоизолированный шкаф, фазовый теплоноситель, наружный радиатор/испарительный контур;Терма направляет теплоперенос и стабилизирует фазовый цикл;терал, сольвер, орель, селен, веллит;0.01–0.05 FU;80–250 BU/сутки;механический привод/насос, ледяной резерв, испарение, иногда малый химический привод;хранение молока, мяса, десертов и лекарств несколько дней;"температура медленно растёт; содержимое портится как обычно";4/5
D-H04;Дом;Водонагревательный бак с ограничителем;T1/T2;печной/солнечный/топочный теплообменник и бак;Терма выравнивает нагрев, порог не допускает кипения;сольвер, терал, веллит, механический клапан;0.002–0.01 FU;10–40 BU/цикл;обычное тепло;безопасный и равномерный нагрев воды;"переходит в обычный бак; механический паровой клапан сохраняется";2/5
D-H05;Дом;Пожарный тепловой флажок;T1;бистабильная пластина, пружина и звуковой элемент;Резонанс/Терма чувствуют быстрый рост температуры, но срабатывание механическое;таль, терал, авэрин, мералит;<0.001 FU;почти не требуется;запас пружины;раннее предупреждение до видимого большого пожара;"не срабатывает; поэтому не заменяет людей и воду";1/5
D-H06;Дом;Стабилизированный дверной замок;T1;обычный механический замок;малый референс повышает устойчивость положения запертого ригеля и обнаруживает грубую Форма-попытку;серый сплав, малая керитовая вставка, нирен;"пассивный; <10^-4 FU";нет или мини-буфер;механика;сложнее открыть Визом, но можно взломать физически;становится обычным замком;2/5
D-H07;Дом;Точные бытовые часы;T1;пружина/гиря, механическая передача;таль-авериновый резонатор стабилизирует период;таль, авэрин, кельская бронза/латунь, нирен;~10^-4 FU;минимально;пружина/гиря;ошибка порядка минут в месяц у хорошего экземпляра;продолжают ходить менее точно;2/5
D-H08;Дом;Погребной регулятор влажности;T2;вентиляционная заслонка, сорбент/вентканал;Резонанс отслеживает влажностно-структурный отклик, открывает заслонку;нерил, таль, веллит, орель;0.001–0.005 FU;10–30 BU/неделю;пружина/естественная тяга;меньше плесени и потерь запасов;вентиляция остаётся ручной;2/5
D-A01;Академия;Настольный визометр;T2;эталонные резонаторы, стрелочная механика;измеряет Πv, Zv и общий резонансный отклик слабой пробой;таль, авэрин, веллит, мералит, нирен, серый сплав;10^-4–0.01 FU;20–60 BU;пружинный регистратор/малая ячейка;базовая количественная диагностика среды и образцов;"дрейф/ошибка; требует поверки";3/5
D-A02;Академия;Полевой визометр;T2;защищённый переносной измеритель размером с толстую книгу;Πv/Zv/резонанс + опциональный отдельный Эхо-канал;"серый сплав, таль, авэрин, веллит, мералит; эхолит только в спецверсии";0.001–0.02 FU;80–200 BU;пружина/малая химическая ячейка;работа вне лаборатории;"сильный удар сбивает калибровку; показания не считаются абсолютной истиной";4/5
D-A03;Академия;Учебная визографическая плита;T1;сменная керамическая плита с пазами и модульными узлами;позволяет собирать P1-схемы R/S/C/T/F/A;керамика, веллитовые ленты, селеновые чашки, мералитовые шайбы;<0.05 FU;внешний учебный буфер;небольшая лабораторная энергия;студенты видят физическую схемотехнику;срабатывает предохранитель, схема гаснет;3/5
D-A04;Академия;Резонансный ленточный регистратор;T2;бумажная лента, часовой механизм, перо/игла;преобразует медленный резонансный сигнал в механическое смещение пера;авэрин, таль, веллит, мералит;<0.005 FU;20–50 BU;часовая пружина;многочасовой график без оператора;"линия записи уходит в ноль/шум; бумага остаётся физическим архивом";3/5
D-A05;Академия;Поверочный стенд материалов;T3;жёсткая рама, сменные образцы, контролируемая температура и нагрузка;меряет σv/Cv/ζv/Sc/Qv по стандартным процедурам;дарн, серый сплав, таль, авэрин, эталонный веллит, мералит;0.01–0.2 FU;стационарный буфер;мастерская сеть;делает материалы взаимозаменяемыми по стандарту;неверная поверка портит весь последующий парк приборов;5/5
D-A06;Академия;Безопасный зарядный шкаф Виз-ячеек;T3;раздельные гнёзда, теплоотвод, механические предохранители;медленно выравнивает селеновые домены, ограничивает Fv и температуру;селен, мералит, нирен, веллит, терал;0.1–1 FU суммарно;заряжает внешние ячейки;физическая мастерская/коллекторная линия;ресурс и безопасность ячеек выше ручной зарядки;разрывает канал и оставляет ячейку недозаряженной;4/5
D-A07;Академия;Стабилизированный архивный шкаф;T1/T2;обычный прочный шкаф с многослойной стенкой;повышает Sc текущей конфигурации содержимого, не 'восстанавливает' документы;серый сплав, нирен, мералит, малые керитовые референсы;10^-4–10^-3 FU;20–100 BU на длительный период;почти пассивный;защита чувствительных образцов и причинных эталонов;становится обычным защищённым шкафом;4/5
D-C01;Клиника;Резонансный стетоскоп;T1/T2;контактная витреновая/металлическая головка, механический звуковой/стрелочный вывод;усиливает селективность к пульсу, кровотоку, дыханию;витрен, авэрин, таль, нерил;10^-4–0.003 FU;небольшой;пассивный/ручной;лучше различает слабые физиологические сигналы;работает как обычный стетоскоп хуже точностью;2/5
D-C02;Клиника;Контактный монитор кровотока;T2;манжета/пластина и стрелочный индикатор;слабый Резонанс зонд оценивает поток и его асимметрию;витрен, веллит, мералит, таль;0.001–0.01 FU;10–40 BU/сеанс;малая ячейка;раннее обнаружение кровотечения/сосудистой проблемы;"ошибочные показания при плохом контакте; врач обязан перепроверить";3/5
D-C03;Клиника;Вита-зажим для свежей раны;T2;реальный хирургический зажим/компрессионная рамка;малый Вита-контур поддерживает сосудистое сокращение и края ткани;витрен, серый сплав, веллит, малая селеновая чашка;0.01–0.08 FU;20–100 BU/процедура;метаболизм пациента + приборная ячейка;снижает кровопотерю и улучшает первичное закрытие;остаётся обычным механическим зажимом;3/5
D-C04;Клиника;Стерилизационный термошкаф;T2;печь/паровая камера;Терма выравнивает температуру и исключает холодные зоны;терал, сольвер, люментовое окно, веллит;0.01–0.05 FU;40–120 BU/цикл;топливо/пар;надёжнее стерилизация инструментов;можно продолжить как обычную печь по более долгому режиму;3/5
D-C05;Клиника;Лекарственный холодный шкаф;T2/T3;малый холодильный контур;Терма поддерживает узкий диапазон и регистрирует выход за него;терал, сольвер, селен, таль;0.005–0.03 FU;50–200 BU/сутки;механический/испарительный холод;стабильные лекарства, кровь/образцы, некоторые вакцины;флажок фиксирует нарушение температуры;4/5
D-C06;Клиника;Хирургический направленный светильник;T1/T2;яркая лампа/пламя/светящаяся керамика;Люмен направляет свет и уменьшает тени;люмент, сольвер, веллит;0.005–0.02 FU;30–80 BU/операцию;обычный источник света;лучше видимость операционного поля;остаётся обычным светильником;3/5
D-U01;Город;Насосный регулятор водопровода;T3;водяное колесо/поршневой насос/резервуар, клапаны;Импульс сглаживает удары, Резонанс следит за давлением, контроллер включает байпас;дарн, кельская бронза, веллит, таль, мералит;0.05–0.4 FU на станцию;стационарный;вода/животная/механическая тяга;меньше разрывов труб и ровнее давление;система переходит на механический байпас;5/5
D-U02;Город;Уличный светильник;T1/T2;масляный/газовый/химический источник;Люмен формирует широкий вниз направленный пучок;сольвер, люмент, малая веллитовая схема;0.001–0.006 FU;20–70 BU/ночь;топливо;дешевле освещать площадь/важную улицу;светит хуже или гаснет;2/5
D-U03;Город;Рыночный холодильный склад;T3;толстая изоляция, испарительный/компрессионно-механический контур, большой радиатор;Терма повышает эффективность переноса и держит зоны температуры;терал, сольвер, орель, селен, веллит;0.2–1.5 FU;10^4–10^5 BU;механические приводы + холодная вода/испарение/лед;снижает сезонные пищевые потери;запас холода даёт часы на разгрузку;5/5
D-U04;Город;Пожарная напорная станция;T2/T3;резервуар, насос, рукава, механические клапаны;"Импульс уменьшает гидроудар и помогает распылению; Терма-датчики дают тревогу";дарн, кельская бронза, терал, веллит;0.1–0.8 FU при пожаре;500–3000 BU резерв;вода + насосный привод;быстрее развернуть устойчивый поток воды;остаётся обычной пожарной насосной;5/5
