Глава;Название;Содержание;Персонажи;Функция;Mystery;Эмоциональный итог
1;Утро поступления;"Дом Вейлов; меч; дорога в Академию; регистрация";Найра, Марен, Сейра, Тален;семья + цель Найры;меч как подарок, но без мистики;тепло/нервозность
2;Двор Основателей;"ориентация; монолит; первые лица; расписание";Найра, Ильва, Эрен;Академия как место;"у монолита у Найры на мгновение остаётся слабый остаточный Resonance после окончания демонстрации; списывает на прибор";интерес
3;Пять мест за столом;первая общая лабораторная группа;Найра, Ильва, Эрен, Торрен, Весса;сформировать рабочую пятёрку;нет;неловкость -> юмор
4;О что мы толкаемся;лаборатория Импульса с тележками;пятёрка, преподаватель;правило сохранения импульса до боевой необходимости;нет;удовольствие от понимания
5;Третий Колокол;"после занятий; еда; характеры через заказ/деньги";пятёрка, Мара;дружба и бытовой Лейвен;нет;уют
6;Ошибки прибора;"первый Resonance-стенд; Найра замечает слабый лишний хвост";Найра, Ильва;показать measurement uncertainty;остаточная чувствительность seed #1 закрепляется как лабораторная странность;любопытство без тревоги
7;Неделя первая;"монтаж коротких сцен учёбы/дороги/дома; решение продолжать";ядро + семья;закрыть поступление;нет;принадлежность
8;Сколько стоит книга;"Северное Окно; Эрен считает расходы; подержанные учебники";Найра, Эрен;деньги/соцразличия без мелодрамы;нет;сближение
9;Дождь над Мералом;"путь в дождь; омнибус; мост Венна; опоздание";Найра, Ильва;город как физическая среда;нет;комедия
10;Текущий Шаг;первое занятие у Лиоры;Найра, Лиора;фехтование как телесная дисциплина, не суперсила;нет;вызов
11;Семь улиц;"рынок; продукты; редкие материалы; спор о качестве";пятёрка;экономика/материалы/еда;нет;живость
12;Мост, которого нет;"учебная картография старой дороги; на старой копии отмечен малый служебный мост";Найра, Ильва, Торрен;карты и инфраструктура;"seed #2: мост отсутствует сейчас; преподаватель предполагает паводок/ошибку копии";мгновенное недоумение
13;Первый общий проект;сделать безопасный регулятор давления на учебной плите;пятёрка;показать командные роли;нет;конфликт -> работа
14;Неделя Урожая и Дорог;"городской праздник; еда, музыка, дорожные службы, семья";ядро + семья + местные;закрепить любовь к Лейвену;нет;радость
15;Первый снег;"Академия в снегу; холод; бытовая логистика";ядро;сезонность;нет;уют
16;Домой к ужину;"семейная глава без сюжета; Марен рассказывает о реставрации";Вейлы;семейная база;нет;тепло
17;Почему треснуло;"материаловедческая лаборатория; Торрен замечает структурную ошибку раньше всех";пятёрка, Ровен;компетентность Торрена;нет;уважение
18;Ночная смена;"студенческий регистратор оставляют на ночь; смены/сон/кофе";Найра, Ильва, Эрен;научная рутина;нет;усталое веселье
19;Каэль Рен;"теоретический семинар; Каэль спорит с моделью группы без злодейства";Найра, Каэль, ядро;ввести интеллектуального соперника;нет;раздражение+интерес
20;Два окна;архитектурная задача: старый план одного академического крыла показывает три окна там, где физически два;Найра, Каэль, преподаватель;источниковедение;"seed #3; объяснение — перестройка/ошибка плана; никаких доказательств обратного";слабая заноза
21;Самая длинная ночь;"зимний вечер: общага/дом/подарки/настольная игра; учебный семестр закрыт";ядро;дружба;нет;покой
22;Лёд идёт;весенний ледоход и подготовка берегов;город/Академия;городская инфраструктура;нет;энергия весны
23;Вода выше метки;"малый паводковый инцидент на складе; студенты помогают измерениями, не героическим спасением мира";ядро, рабочие;практическая польза науки;нет;напряжение -> облегчение
24;После воды;"разбор ошибок: их измерение было запоздалым; никто не идеален";ядро, Керн;профессиональная ответственность;нет;стыд -> обучение
25;Первый Свет;"праздник; город в зелени; еда/семья/музыка";все;эмоциональная вершина весны;нет;счастье
26;Слабый сигнал;"Resonance practice outdoors; Ильва сильнее в пространственной ориентации";Найра, Ильва;различить таланты;нет;доверие
27;Я тебя знаю?;в толпе у почтового двора Найра на секунду уверена, что знает приезжего, но понимает, что никогда его не видела;Найра, случайный путешественник;seed #4;"никакой слежки/секретного агента; человек уезжает и не важен";déjà vu
28;Не чинить человека как прибор;малый конфликт Найры и Вессы о слишком техническом подходе к живой системе;Найра, Весса;ранняя черта Найры: эмоцию/жизнь нельзя свести к схеме;нет;трение -> уважение
29;Выбор направления;студенты выбирают специализации следующего года;ядро;закрепить будущие профессиональные пути;нет;предвкушение
30;За город;первая короткая учебная полевая практика в Арвеле;ядро, наставник;смена пространства без тайны;нет;приключение
31;Деревня у старого тракта;"ночёвка; местная семья; обычная проблема воды/дороги";ядро + местные;side-story принцип;нет;человечность
32;Слишком хороший ответ;Найра слишком доверяет Resonance и неверно диагностирует причину дефекта;Найра, Торрен;ошибка модели;нет;самоуверенность -> удар
33;Камень не врёт, мы врём;"Торрен физически вскрывает узел; причина обычная материальная";Найра, Торрен;Resonance не показывает истину;нет;рост доверия
34;Исправить без героизма;группа помогает реальному ремонту, механика + Viz;ядро, местные;технологический стиль мира;нет;удовлетворение
35;Дорога назад;"разговоры в пути; планы; локальные знакомые остаются живыми после ухода героев";ядро;мир автономен;нет;мягкая грусть
36;Отчёт;"Академия; жёсткий разбор практики; оценка";ядро, Керн;профессия;нет;гордость без триумфа
