Материал;Класс;Главные источники;Сырьё;Очистка;Обработка;Сорта;Стоимость;Опасность;Отказ;Компоненты
Керит;минерал/легирующая фаза;"Келмарский хребет — главный источник; мелкие вторичные жилы Восточного Каменного Пояса";"редкие серо-синие жилы в высокометаморфических породах; богатая руда 8–20%, обычная 1–5%";механическое разделение → плотностная сортировка → слабокислотное выщелачивание примесей → низкотемпературный восстановительный обжиг;"монолитные кристаллы сохраняют для эталонов; для сплавов — мелкие контролируемые фрагменты/фазы";"K-A эталонный крупнодоменный; K-B приборный; K-C металлургический; K-D порошковый/демпфирующий";"K-A чрезвычайно дорог; K-C дорог, но доступен серьёзной промышленности; основные объёмы идут в малых долях сплава";"пыль обычна как минеральная; главная опасность — ложная уверенность: высокий Sc может зафиксировать неправильное состояние";растрескивание доменной непрерывности резко снижает эффективный Sc;референсные штифты, стабилизаторы, серые сплавы, осевые узлы
Веллит;пластинчатый минерал;Саэрское нагорье, западные метаморфические пояса Риана, отдельные жилы Арвеля;"светлые пластинчатые прослои; промышленная руда 15–40%";мойка → механическая сортировка → перекристаллизация/медленный рост для точных сортов;"полосы, ленты, тонкие вставки; ориентация обязательно маркируется";"V-1 лабораторный монодоменный; V-2 приборный; V-3 промышленный; V-P порошок";"V-3 умеренный; V-1 дорог из-за медленного роста";"хрупкая пыль, острые пластины; приборный риск — паразитный перекрёстные помехи";границы зёрен, изгиб, трещины повышают Zv;проводящие дорожки, сенсорные линии, соединители
Селен;буферный минерал;осадочно-гидротермальные районы Арвеля и востока Рианской Лиги;"зелёно-серые агрегаты в пористых жилах; 5–25%";флотационная сортировка → химическая очистка → контролируемая рекристаллизация;намеренное дефектирование, легирование, термоциклы для создания метастабильных доменов;"S-H многоцикловый; S-F полевой; S-D бытовой; S-R reclaim/reprocessed";"широко доступен; дорогие сорта определяются обработкой, не сырьём";"перегрев при быстрой зарядке; трещины могут давать резкий рост шума";потеря Cv, увеличение саморазряда, нагрев;Виз-ячейки, буферные чашки, стационарные банки
Мералит;искусственная керамика;"сырьё бассейна Мера/Мерал; производство возможно во многих регионах";"не существует как готовый минерал; смесь железистых глин, силикатов и мелкодисперсных добавок";промывка → тонкий помол → точное смешение фракций;"формование → ступенчатый обжиг → контролируемое охлаждение; демпфирование задаётся неоднородной микроструктурой";"M-L лабораторный; M-I промышленный; M-B строительный";"дешёвый/умеренный; качество зависит от печи и рецептуры";"пыль при обработке; хрупкость";сколы и стеклование после перегрева снижают ζv;шайбы, панели, кожухи, лабораторные экраны
Люмент;оптическое стекло;"кварцевые пески Сольвии и Арвеля; редкие очищающие добавки из Нерайского архипелага";обычное стекольное сырьё высокой чистоты;многоступенчатая химическая очистка;плавка → отстой пузырьков → Люмен-ориентированный отжиг → медленное охлаждение → шлифовка;"L-O optical; L-S signal; L-D бытовой";от умеренного до очень дорогого в больших бездефектных линзах;"термошок; ослепляющие паразитные фокусы при дефектах";микротрещины и остаточные напряжения создают оптический Виз-шум;линзы, световые окна, спектральные приборы
Терал;термостойкая керамика;огнеупорные глины Сольвии, Арвеля и Келмара;алюмосиликатоподобные глины с железистыми добавками;промывка, фракционирование, смешение;прессование → высокий обжиг → медленный отпуск;"T-F furnace; T-E обменник; T-D бытовой";доступный промышленный;горячие трещины, пыль;термоциклическая усталость, скрытые трещины;печи, теплообменники, клапаны
Эварит;резонансный металл;"Келмар и Восточные Марки — основные промышленные источники; Саэр и старые рудные области Рианского кряжа — вторичные";серебристо-жёлтые сульфидные/самородные включения;многоступенчатая плавка и химическая/электролитоподобная очистка;"очистка → классификация; монетный — контролируемое легирование и чеканка; приборный/эталонный — глубокое рафинирование и формирование структуры";"монетный; приборный; эталонный";"дорог; цена зависит от класса, в приборах обычно нужны малые массы";мягкость — легко испортить геометрию;ползучесть/деформация/нарушение структуры сдвигает резонанс;"монеты, поверочные вставки, резонаторы, приборные пластины, эталоны"
Дарн;тяжёлый железистый сплав;производится в Келмаре, Арвеле и Восточных Марках;обычные железные руды + легирующие минералы;доменная/кричная плавка регионального уровня → рафинирование;ковка/литьё → термообработка → Форма-контроль зерна;"D-A anchor; D-M machine; D-C общий";умеренный;масса, коррозия;усталостные трещины, коррозия контактных поверхностей;Импульсные опоры, фундаменты, тормоза
Нерил;растительное волокно;болотистые низины Арвеля, Риана и Восточных Марок;длинноволокнистое растение нерил;мочка → трепание → промывка → сушка;пряжа, ткань, прессованный картон, пропитка орелем;"N-M medical; N-I прибор; N-C общий";дешёвый;горючесть, плесень;влага резко меняет изоляционные свойства;перчатки, прокладки, обмотка
Орель;смолистый композит;смолы Элвара и лесов Арвеля/Саэра + минеральные наполнители;"не руда; растительная смола";перегонка смол → удаление летучих фракций;смола + порошок нирена/керамики → горячая заливка → выдержка;"O-H hermetic; O-E electrical/Виз insulation; O-C общий";дешёвый/умеренный;пары при нагреве, горючесть до отверждения;старение, растрескивание, размягчение;заливка каналов, корпуса, герметизация
Саэрин;слоистая керамика;специальные слюдистые/глинистые минералы Саэрского нагорья;тонкослоистые минералы;расщепление → очистка → суспензия;послойное осаждение с Форма-ориентацией → прессование → обжиг;"SA-D directional; SA-S sensor; SA-C construction";дорог вне Саэра из-за технологии;невидимая ошибка ориентации;расслоение, поворот слоёв, трещины;направляющие пластины, навигация
Риал;морская стеклокерамика;"производство Рианской Лиги; сырьё — прибрежные пески и раковинные минералы";не готовый минерал;очистка от солей/органики;плавка → кристаллизация стеклокерамики → солевой цикл старения;"R-N navigation; R-P port; R-C общий marine";умеренно дорог;тяжёлый, сложный отжиг;внутренняя девитрификация и микротрещины;маяки, навигация, морские корпуса приборов
Сольвер;медный тепловизовый сплав;медные руды Сольвии, частично импорт из Келмара;медные карбонаты/сульфиды + легирующие добавки;обжиг/плавка → очистка;легирование → прокат/литьё → Терма-отжиг;"SV-O optical-thermal; SV-H heat обменник; SV-C ремесло";умеренно дорог;мягкость, горячие ожоги;окисление поверхности, ползучесть;лампы, печи, теплообменники
Эйдорское белое стекло;утраченный V2-композит;"только древние находки; современное сырьё можно имитировать, процесс — нет";не применимо;не переплавляется без потери функции;утраченная объёмная причинно-структурная сборка;археологические образцы классифицируются по сохранности, а не производственному сорту;бесценно/лицензировано/не рынок;"непредсказуемая скрытая функция; возможный остаточный Эхо coupling";"переплавка уничтожает V2-структуру; трещины могут изолировать внутренние домены";древние узлы Меридиана, архивные элементы
Витрен;биосовместимая стеклокерамика;производится в крупных медицинских центрах Арвеля, Риана, Сольвии;высокочистое стекольное сырьё + кальций/фосфатоподобные фазы;фармацевтическая чистота;чистая плавка → формование → Вита/Резонанс-отжиг → стерилизация;"VT-I имплантат; VT-S хирургический; VT-L лаборатория";дорог;"хрупкость; загрязнение делает биосовместимость непредсказуемой";микротрещины, поверхность теряет пассивность;хирургические инструменты, датчики, пластины
Лейвенский серый сплав;массовый стабилизированный железный сплав;"Арвель; рецептура возникла в Лейвене, производится и по лицензии";железо + малый керит + керамическая фаза;раздельная очистка компонентов;плавка железной основы → контролируемое введение керитовой фазы → дисперсная керамика → Форма-термообработка;"LG-S structural; LG-I прибор; LG-F полевой";умеренно дорог, но массовый;ошибка распределения керита создаёт локальные жёсткие зоны;неоднородный Sc, усталость, коррозия;мосты, корпуса, инструменты, полевые стабилизаторы
Кельская бронза;северный бронзоподобный сплав;Келмарский Пакт;медь + оловоподобные/никелеподобные добавки;традиционная плавка высокой чистоты;литьё → ковка → морозный цикл/отпуск;"KB-M mining; KB-V valve; KB-F fittings";умеренный;тяжёлый металл/пары литейного производства;износ поверхности, усталость;клапаны, крепления, шахтная техника
Нирен;пористый изоляционный камень;вулканогенно-осадочные пласты Восточных Марок, Арвеля, Саэра;чёрный пористый камень;сушка, сортировка по пористости;резка → пропитка для влагостойкости при необходимости;"NI-L лаборатория; NI-B сооружение; NI-P порошок";дешёвый;пыль, слабая механика;влага/трещины повышают K_v;изоляционные панели, прокладки
Эхолит;аномальный сенсорный минерал;"аномальные зоны Восточных Марок и края Белой Чаши; крайне редко — старые эйдорские объекты";дымчатые дефектные кристаллы в причинно нагруженных породах;"почти не очищают традиционно; сортируют по Эхо отклик и истории";"малые сенсорные вставки; индивидуальная калибровка и 'обнуление'";"E-R research; E-F полевой; E-X ограничено";очень дорог и регулируется;"удерживает остаточные состояния; загрязняет соседние измерения";насыщение историей, дрейф референса;эхометры, причинные лаборатории
Таль;резонансный кристалл;Келмар, Саэр, Восточные Марки;прозрачные/дымчатые жилы;механическая/химическая очистка;ориентированная резка → шлифовка → температурное старение;"TA-R референс; TA-I прибор; TA-C clock";"обычные часы — умеренно; эталоны — дорого";хрупкость;микротрещина необратимо меняет частоту;часы, фильтры, эталоны
