Задача;Эффективность Виты;Нужен физический/медицинский метод;Главный риск
мелкая свежая рана;очень высокая;очистка/повязка;инфекция
глубокая свежая рана;высокая;хирургия/шов;кровотечение
перелом;средне-высокая;репозиция/фиксация;неправильное сращение
кровопотеря;поддерживающая;переливание/жидкость;шок
инфекция;поддерживающая;лекарства/санитария;иммунный ущерб
опухоль;ограниченная;диагностика/хирургия/химия;ускорение роста
старая травма;низкая-средняя;реабилитация/хирургия;ошибка референса
ампутация;очень низкая;протезирование;масса/нервы/сосуды
старение;локально поддерживающая;обычная медицина;причинная глубина
нервная свежая травма;средняя;совмещение/покой;ошибочная проводимость
сердечная аритмия;опасно/специализированно;лекарства/наблюдение;фатальная ошибка ритма
