Арка;Главы;Персонаж;Чего хочет;Что реально знает;Доверие/отношения;Изменение к концу арки;Ещё не знает / запрет
A1;1–7;Нора;Доказать самой себе, что она заслужила Академию.;"Базовая школьная физика/Виз; меч старый и необычный; детский эпизод помнит, но не понимает.";"Семье глубоко; Эрен/Сиона — рабочие знакомые; Ильва — приятная старшая студентка.";Перестаёт чувствовать себя гостем.;Не знает Меридиан, природу причинной памяти, усиление мечом, смысл семя #1.
A2;8–14;Нора;Научиться работать правильно, а не только сдавать задания.;"Понимает погрешность и обычные причины несоответствий; семя #2 воспринимает как картографическую странность.";"Эрен/Сиона — уже добровольное общение; Ильве доверяет в пространственных вопросах; Деймон пока старший практик.";Видит Академию как сеть разных компетенций.;"Не связывает семя #1 и #2; не думает о переписывании истории."
A3;15–21;Нора;Выдержать нагрузку и научиться спорить с более сильными в отдельных областях.;"Знает материальные причины отказов; сталкивается с Ареоном и семя #3.";"Эрен/Сиона — устойчивые друзья; Ильва близкая старшая знакомая; Деймон уважаемый практик; Ареон — раздражающий оппонент.";Понимает, что сильный спор может улучшить мысль.;Не знает, что три семя относятся к одному классу причинных следов.
A4;22–29;Нора;Быть полезной в реальной ответственности и осознанно выбрать направление.;"Знает цену запоздалых/неполных измерений; семя #4 переживает как сильное дежавю.";"После конфликта с Сионой доверие глубже; шестёрка становится выбранным кругом.";"Выбирает полевую визографию; учится не 'чинить' человека как узел.";Не считает знакомого незнакомца доказательством альтернативной истории.
A5;30–36;Нора;Доказать, что годится для поля.;Умеет измерять лучше, но ошибается в причинном выводе по слишком стройной Резонанс-модели.;Доверяет Ильве маршрут, Деймону материал, Сионе живое, Эрену системы, Ареону проверку модели.;Учится публично фиксировать собственную ошибку.;Не превращает профессиональную ошибку в причинную тайну.
A6;37–42;Нора;Понять, может ли Академия стать профессией.;"Получает первую оплачиваемую архивную работу; четыре семя физически находятся в одном журнале.";"Дружба выдерживает дистанцию; семья остаётся базой; Марен всё яснее как источник профессионального мировоззрения.";Принимает, что необъяснённое можно оставить открытым при нехватке данных.;Даже в гл. 42 не знает, что четыре семя связаны, что Меридиан активен и меч усиливает её устойчивость.
A1;1–7;Сиона;Освоиться на I курсе и проверить медицинско-биологическое направление.;"О Норе знает только видимое; ничего особого о её памяти.";Нора/Эрен — новые рабочие знакомые.;Замечает, что Нора полезная, но быстро превращает всё в задачу.;Не знает детский эпизод, причинная особенность, истинную природу меча.
A2;8–14;Сиона;Стать увереннее в живых системах и в новой социальной среде.;"Видит бытовые привычки Норы/Эрена; тайна считает обычными странностями.";Нора/Эрен — друзья начального уровня.;Начинает уверенно говорить Норе 'остановись', когда вопрос касается здоровья/безопасности.;Не становится детектором причинных аномалий.
A3;15–21;Сиона;Удержать нагрузку и не превратиться в 'заботливый придаток команды'.;Видит рост круга и споры Норы/Ареона.;К Норе бытовое доверие, ещё не проверенное серьёзным конфликтом.;Готова быть твёрдой, если здоровье требует запрета.;Не знает скрытую причинную линию.
A4;22–29;Сиона;Не дать группе забыть людей во время реальной нагрузки.;Видит стресс Норы и дежавю, но без причинного диагноза.;После гл. 28 Нора становится человеком, с которым можно жёстко спорить без потери дружбы.;Становится одним из людей, которые реально могут остановить Нору.;Не диагностирует причинная устойчивость памяти без данных.
A5;30–36;Сиона;Быть полезной как биолог/медицинский студент, а не как готовый врач.;Знает границы своей подготовки и видит ошибку Норы.;Доверяет Норе больше после честного признания ошибки.;Получает результат гл. 28: Нора лучше слушает людей и местные знания.;Никакой сверхъестественной связи с Искажёнными/аномалиями.
A6;37–42;Сиона;Сохранить собственную траекторию после общего ритма года.;Знает обычную версию летней работы Норы.;Связь с Норой устойчива на расстоянии.;Остаётся самостоятельным персонажем.;Не фиксировать романтическую/предопределённую 'целительницу команды'.
A1;1–7;Эрен;Освоиться на I курсе и найти систему в новом расписании.;семя #1 если видит — только лабораторная неопределённость.;Нора/Сиона — новые рабочие знакомые.;С Норой быстро возникает спокойный технический язык.;Не знает ничего особого о памяти Норы.
A2;8–14;Эрен;Стать надёжным партнёром без борьбы за статус.;Знает рабочие привычки Норы и расширение круга.;"Нора/Сиона — устойчивые друзья; старшие — знакомые.";Становится повседневной технической опорой.;Не строит причинный заговор.
A3;15–21;Эрен;Разобраться в системных последствиях локальных решений.;Наблюдает спор Норы/Ареона и материальные уроки Деймона.;"Доверяет расширяющемуся кругу; романтика с Ильвой не активируется.";Учится медиировать через системное мышление, а не через 'миротворца'.;Не знает старую черновую линию стёртых отношений.
A4;22–29;Эрен;Применить системное мышление к городской работе.;Видит, как задержка/неполное измерение создаёт последствия.;Шестёрка становится выбранным кругом.;Получает право указывать Норе на пропущенную подсистему.;Не получает знаний о Меридиане.
A5;30–36;Эрен;Понять, где система заканчивается и нужен объект/материал/человек.;Видит ошибку Норы/Ареона и физическую проверку Деймона.;Доверие растёт через честный отчёт.;Помогает собрать исправленную картину после провала.;Не становится универсальным инженером.
A6;37–42;Эрен;Сохранить дружбу и свой системный трек летом.;Знает только обычную версию работы Норы.;Спокойная дружба с Норой сохраняется.;Готов к следующему году как отдельный студент.;Ilva/Eren romance не фиксируется.
A1;1–7;Ильва;Выполнить роль старшей студентки в ориентации и заниматься своим II курсом.;Знает кампус/маршруты лучше первокурсников.;Нора — симпатичная первокурсница, не подруга по умолчанию.;Замечает, что Нора действительно смотрит и слушает.;Не знает причинная устойчивость памяти.
A2;8–14;Ильва;Укрепляться в картографии/навигации и понять ценность младшей знакомой.;семя #2 трактует как обычную проблему карты/источника.;Нора начинает доверять ей пространственный контекст.;Становится человеком, с которым комфортно идти и молчать.;Не знает причинное значение моста.
A3;15–21;Ильва;Сохранять собственную траекторию при росте межкурсовый контактов.;Видит споры Норы/Ареона и формирование круга.;К Норе личное доверие растёт.;Участвует в первом общий для всей шестёрки вечере без роли 'мамы группы'.;Не активировать старый роман с Эреном.
A4;22–29;Ильва;Показать младшим, что поле — это маршрут, время и доступ.;Знает реальные ошибки группы в городской работе.;После общей нагрузки выбирает компанию вне задания.;К гл. 25 шестёрка становится её реальным кругом.;Не знает скрытую причинную линию.
